tweet_preprocessed,NETRAL,MENGUATKAN,MELEMAHKAN
febridiansyah mas febri mungkin dulu waktu mas masih kpk dibatasi aturan yang berhubungan respon medsos ini karena dulu sering gregetan kok kpk merespon issu negatif medsos bahkan jadi viral dibiarkan sehingga menjadi post truth,0.0,0.0,1.0
penyidikan dugaan korupsi lng pertamina kpk,0.0,0.0,1.0
interpelasi siapa yang takut kenapa takut psiid psijakarta pipkpk aniesbaswedan dprddkijakarta pdiperjuangan fpdipjakarta dkijakarta antoniraja dpdri fraksipan nasdem dprri fpksdprri pdemokrat partaigolkar gerindra bpkri,1.0,0.0,0.0
febridiansyah dennysiregar pembuat isu bohong terlalu tinggi menganggap posisi nb pdhl hanyalah seorg penyidik senior yang gak mungkin bergerak sprindik mecat orang kalau yang bertanya anies ga kunjung dijadiin tersangka salahin direktur penyidikan kpk yang ga bikin sprintdik,0.0,1.0,0.0
kompascom setuju pakai bingit istana kepemimpinan jkw sangat lemah tunduk pada partai emak dan oligarki kpk selama th dipimpin firl sangat menyedihkan cuma dapat hitungan jari kasus korupsi bahkan yang buron tahunan reformasidikorupsi,0.0,0.0,1.0
isu pelemahan kpk relevan,0.0,0.0,1.0
johns kpkri rasanya baru x iya komisioner kpk separah itupansel nya perlu dipertanyakan juga,0.0,1.0,0.0
erinnalestary ninjacirng lampung triwul lihat novel lengser kpk sama bahagianya aku melihat soeharto lengser dulubahagia campur terharusemoga kpk yang baru semakin kuatampdapat tangkepan kelas kakapmaklum selama mata satu berkuasa kpk tangkepannya teri melulu,0.0,1.0,0.0
jokowi sebut kpk semakin kuat,0.0,1.0,0.0
leonitalestari negara indonesia pemerintah e kuat kalau g kuat g tawaran di institusi bagi presiden jokowi tahu arti semua tinggal org bisa g memaknai semua yang beri peluang di lingkungan kpk,0.0,1.0,0.0
hinduantahir ferdinandhaean jokowi bani kadrun doang rakyat pernah menggubris novel bahkan banyak yang bahagia novel pecat kpk,0.0,0.0,1.0
dennysiregar kpkri mana kuat yang menang suatu kompetisi jadi kaum tersebut sangat kuat kpkri jangan heran,1.0,0.0,0.0
chusnulch jokowi kpkri mohmahfudmd fadjroel kangdede luruskan pakatt bung fajroel paham dinamika gedung merah putih membela kecil lemah soal keberpihakan pandang bulu bukan,0.0,0.0,1.0
agnezz nazaqistsha terwelu percaya diri teriak mau mundur anggap institusinya lemah twk gak lulus pdhal yang bisa anggap enteng tes amp pengujinya gagal jadi asn minta stay jadi pegawai karena klaim hebat amp banyak jasa kesal kenapa ikutan tes rasamalaart kapitraampera kpkri alingabalinnew,1.0,0.0,0.0
juliantokemal ingat saat presiden jokowi bilang apa hasil tes wawasan kebangsaan pegawai kpk hendaknya menjadi langkah perbaikan kpk baik individu maupun institusi tidak merta dijadika,0.0,0.0,1.0
yusuf amp randi a thread yusuf amp randi mahasiswa tewas menolak revisi uu kpk tanggal sama hari september dua tahun lalu timah panas merenggut nyawa,0.0,0.0,1.0
ketumprodemnew putrawadapi jokowi erickthohir kpkri paling tidak percaya ungkapan pebisnis yang berpolitik ia sdh selesai dengan dirinya sehingga akan mengabdi tamak termasuk penyakit yang paling susah diobati,1.0,0.0,0.0
adipujipangest iwayanesaattars erwintopurlay ilhammubarak kpkri protokolmenpora pdiperjuangan jangan lama kalian membayarnya talangankerliplampu,1.0,0.0,0.0
dynitri abirusyda nurwahidahalz bandarjuaranya ridanulantary wanheartn cahmbanjar arpangeran seruanhl hnurwahid geiszchalifah tofatofaid musniumar reflyhz oposisicerdas maspiyuaja rockygerungrg galamedianews hmsoeharto sbyudhoyono nenowarisman ramlirizal bemsi msaiddidu pakjk nurmantyogatot nazaqistsha kpkri aniesbaswedan agusyudhoyono edhiebaskoro mardanialisera tniad jokowi fadlizon nataliuspigai harisazhar pksejahtera pdemokrat faisalbasri tvonenews demokrattv andiarief krmtroysuryo annisapohan amansur hanumrais panca buktinya rijik ke indonesia mulutnya tetap keangkuhan provokasinya seakan gak yang berani meringkus karena merasa pengikutnya jutaan mau apel akbar keliling jawa dengan narasi penggal melawan menantang pemerintah itu bukan kegaduhan,1.0,0.0,0.0
seknasri febridiansyah kpkri azizsyamsuddin partaigolkar airlanggahrt bambangsoesatyo listyosigitp mohmahfudmd polhukamri jokowi siyapgkgkgk,1.0,0.0,0.0
korantempo tempodotco manusia dewa habis pecat kpk pakai markas besar di buat kelompok kerja yang tugasnya berantas korupsi persis kpknanti saling gigit unjuk gigi siapa yang paling kuat berpengaruh jdnya bukan urus korupsitapi perang dingin masing kubu kpk vs polri,0.0,0.0,1.0
lah si febri narasimu jelas playing victim contoh isu bendera bagi waras bahkan memberi bukti kuat kalau kpk dulu benar di twk lah kok bahkan memutarbalikkan kejadian ngopi bri,0.0,1.0,0.0
mohmahfudmd pertama revisi uu kpk kedua uu cipta pengangguran ketiga uu minerba keempat twk kelima lebih baik bubarkan saja negara wakanda,0.0,0.0,1.0
nichosilalahi kpkri bisa bedakan dipecat tidak lulus hal tidak hubungannya berita miring kpk yang jelas saat ini koruptor menjerit dibawah pemerintahan pak jokowi,0.0,0.0,1.0
dukung kpk fokus berantas korupsi indonesia dukungan rakyat kekuatan penguatan kpk kpk kpkhebat jatenggayeng,1.0,0.0,0.0
komisi pemberantasan korupsi mendapatkan sorotan atas kinerja pimpinan sekarang katanya menjadikan kpk menjadi bobrok lemah disisi menko mahfud md klaim era firli lebih baik hemm kalau kawankawan amanatinstitute,0.0,1.0,0.0
kpk panggil sederet mantan anggota dpr terkait ektp,1.0,0.0,0.0
opajoedequeen kpkri,1.0,0.0,0.0
kepolisian beberapa kali membentuk tim khusus menangani berbagai persoalan tim pemberantasan korupsi satgas saber pungutan liarmantan pegawai kpk korban tes wawasan kebangsaan diusulkan menjadi anggota tim khusus korantempo,0.0,1.0,0.0
ichanksrg hardjokondang febridiansyah dennysiregar kpkri nazaqistsha tatakhoiriyah jokowi gak baca,1.0,0.0,0.0
fahrihamzah hari september tahun lalu randy meninggal ditembak demonstrasi menolak revisi uu kpk esoknya yusuf kardawi yang koma dibawa rs berpulang alfatihah untuk pejuang skrang kita lihat rngkaian pelemahan kpk terus terjadi,0.0,0.0,1.0
katabewe polisi menjd kuat kpk hilang mungkin ujung nya,0.0,1.0,0.0
chandramanan dennysiregar kpkri sudah deh mas selfie saja bareng bendera hti trus diupload dibrbagai sosmed biar tahu yang salah dsitu apa,0.0,1.0,0.0
eks juru bicara kpk beberkan penyebab utama kasus korupsi kian merajalela era kepemimpinan jokowi,1.0,0.0,0.0
dprri polhukamri ombudsmanri komnasham presiden jokowi mengindahkan rekomendasi ombudsman ri komnas ham twk orang pegawai kpkri duga tekanan koruptor pendukung nya sangat kuat membuat presiden tidak berdaya,0.0,1.0,0.0
fursansan posindo beacukaiindo kpkri jokowi lha ada pcs satu invoice biasanya satu invoice satu kiriman,1.0,0.0,0.0
edwarddjami roobets karirfess yang diujikan tes kemampuan dasar value bumn tes bahasa inggris wawasan kebangsaan tes bidang,1.0,0.0,0.0
menteri jokowi disebut pandora papers prodem desak kpk bongkar,0.0,0.0,1.0
ferdinandhaean kpkri dprri bodoh kok dipiara,1.0,0.0,0.0
tahu sekarang orientasi kpkri aset recovery tinggi akibat revisi uu kpk majuteruskpk,0.0,0.0,1.0
mengusut tuntas kasus pelanggaran ham berat masa lalu juga kasus pelanggaran ham dialami sejumlah pegawai kpk diberhentikan tidak lolos tes wawasan kebangsaan kamis,0.0,0.0,1.0
ternyata wan asbak benar kuat sampai ngak tersentuk kpk masa nya bersyukur orang ngak kpk,0.0,1.0,0.0
tomcruzz kpkri biasa biar terus bergema tuh nama,0.0,0.0,1.0
hinduantahir ferdinandhaean jokowi yang nyebutin kontraversial mah bani kadrun yang terpenting kpk memecat novel kasus selesai presiden saya banyak kerjaan untuk bukan ngurusin orang yang di pecat,0.0,1.0,0.0
qhiloamumori yusfi peneste febridiansyah kpkri divhumaspolri dennysiregar percuma bang narasi lemah ujungnya sarkas memang trade mark orang bloon amp makhluk tidur kepala bawah,0.0,1.0,0.0
thread direktur eksekutif amnesty international indonesia usman hamid menilai rencana polri merekrut pegawai kpk tidak lolos tes wawasan kebangsaan twk menunjukkan tes tersebut tidak valid gstwk jernihkanharapan,0.0,0.0,1.0
rahadhianzaud detikcom dg revisi uu kpk dn perubahan status kepegawaian kpk udh gk independent lagi,0.0,0.0,1.0
kapolri usul pegawai kpk jadi asn polri memperkuat twk tidak objektif aturan lemah,0.0,1.0,0.0
dynitri bknmuslimegois abirusyda bandarjuaranya ridanulantary wanheartn cahmbanjar arpangeran seruanhl hnurwahid geiszchalifah tofatofaid musniumar reflyhz oposisicerdas maspiyuaja rockygerungrg galamedianews hmsoeharto sbyudhoyono nenowarisman ramlirizal bemsi msaiddidu pakjk nurmantyogatot nazaqistsha kpkri aniesbaswedan agusyudhoyono edhiebaskoro mardanialisera tniad jokowi fadlizon nataliuspigai harisazhar pksejahtera pdemokrat faisalbasri tvonenews demokrattv andiarief krmtroysuryo annisapohan amansur hanumrais panca pki percuma bilanginideologinya deh bukan pancasila coba ajah suruh terangin tentang sila sila pancasila g paham baiknya block ajah buzzer biar g buang waktu,1.0,0.0,0.0
ketumprodemnew bosstemlen jokowi kpkri airlanggahrt apa berani,1.0,0.0,0.0
dennysiregar kpkri kpkri divhumaspolri jokowi kejaksaanri mohon pertimbang kan satuan pengamanan yang pecat nazaqistsha mengambil photo bendera hti meja kerja nya nazaqistsha,0.0,1.0,0.0
peneste aimanjudakusum jhonnisinaga kpkri jokowi ryawiedy yradianto lah pak jokowi nolak kok cuma segelintir teriak soal jangan samakan substansi tes asn lainnya org kpk soal kpk dipolitisir yang dilakukan pak jokowi konstutisonal kuat ga unjuk kekuatan,0.0,1.0,0.0
alasan ditpikor bareskrim diyakini bakal semakin kuat pegawai kpk tidak lulus twk direkrut polri,0.0,1.0,0.0
tomcruzz kpkri gila,0.0,0.0,1.0
gelar aksi demo bem unand sampaikan kekecewaan pelemahan kpk,0.0,0.0,1.0
jokowi sebut kpk semakin kuat,0.0,1.0,0.0
rstmbcl ferdinandhaean kpkri dprri jadi presiden sudah nampak,1.0,0.0,0.0
nazaqistsha gak perlu ajarin ikan berenang biarin penyidik kpk bekerja renungi saya pecat dulu pernah sakiti orangtakdir jangan lawan,0.0,1.0,0.0
former kpk employees masih hope jokowi will act on mediator and komnas hamsfindings,0.0,1.0,0.0
,0.0,1.0,0.0
kpk bekerjasama kpu menyelenggarakan kegiatan bimbingan teknis bimtek anti korupsi lingkungan kpu tahun kpu kabupaten lampung timur tergabung dalam batch iv mengikuti jalannya kegiatan bimtek selasa,0.0,1.0,0.0
kpk lemah tuugara gara sapa,0.0,1.0,0.0
abdulhakimadna yuliaja berarti mecat mihak hti talibankok ada padahal dpecat orang itusayang pak jokowi gak mau bertindak denga dan menegur ketua kpk,1.0,0.0,0.0
mazzinigsp jangan jangan masuk dpr make ritual orang berpendidikan cerdas ga mungkin pakai segala ritual fungsi kebal ott kpk ngomong-ngomong kasih tahu dukunnya dong saya pen jadi komisaris,1.0,0.0,0.0
mantan wakil ketua dpr ri azis syamsuddin disebut mempunyai orang kpk mengamankan ott perkara terkait dengannya apa respons kpk,0.0,0.0,1.0
batalkan revisi uu kpk minerba berikut poin rekomendasi fgd digelar prima,0.0,1.0,0.0
ketumprodemnew jokowi erickthohir kpkri kpk sekarang khusus mengusut target yang disetujui,0.0,1.0,0.0
mungkin emang jalan terbaik pegawai kpk tujuannya sama kan perkuat berantas korupsi siapa tahu makin kuat polri maupun kpk nya diantyyasmin triwul dennisauya farrel,0.0,1.0,0.0
febridiansyah sperti simpul kuat yang mnakutkan mantan pegawai kpk makanya trusan ngotot,1.0,0.0,0.0
former kpk staff continue to hope that jokowi will follow the observations of the ombudsman and komnasham,1.0,0.0,0.0
ferdinandhaean kpkri dprri mabok fifis onta,1.0,0.0,0.0
ferdinandhaean kpkri dprri lagian serius kamu fer hahahawkwkwkkepanasan tertawa,0.0,0.0,1.0
pelemahan kpk berdampak buruk banyak salah satunya hak asasi manusia ham mary lawlor marylawlorhrds pelapor khusus pembela ham pbb nyatakan korupsi gerogoti institusi publik supremasi hukum,0.0,0.0,1.0
cnnindonesia mahasiswa kendari gelar demonstrasi memperingati tahun kematian randiyusuf aksi menolak revisi uu kpk september mahasiswakendari bemsi,1.0,0.0,0.0
moerdianto ferdinandhaean jokowi wkwkwkjalur khusus atau jalur jalan tol cipaliapa iya gara jalur khusus sehingga twk diabaikan sajamenabrak aturan menjadi asn harus lulus test wawasan kebangsaan sesuai permen panrb no th tidak pengecualian wlopun jalur khusus,1.0,0.0,0.0
stmsgfansworld absolutely right ji,0.0,1.0,0.0
hinduantahir ferdinandhaean jokowi tidak penting yang penting kasus novel selesai kpk memecat sah hukum yang setuju bani kadrun,0.0,1.0,0.0
jokowi sebut kpk semakin kuat,1.0,0.0,0.0
mantan wakil ketua dpr ri azis syamsuddin disebut mempunyai orang kpk mengamankan ott perkara terkait dengannya kpk memastikan mendalami informasi tersebut selengkapnya baca tautan,0.0,0.0,1.0
khawatir pemberantasan korupsi semakin tumpul rangkaian pelemahan kpk mulai revisi uu kpk pemilihan komisioner bermasalah hingga pemecatan pegawai kpk tiadaharitanparuwet tiadaharitanparuwet,1.0,0.0,0.0
mrsrajjput,0.0,1.0,0.0
markonah kalau tiba ditangkap kpk jadi menteri yang lebih kuat,0.0,0.0,1.0
delapan orang pegawai kpk tsb termasuk antara orang yang lulus twk yang orang antaranya baru dipecat episode berikutnya kasus azis syamsuddin akan semakin menarik mendebarkan diikuti,0.0,0.0,1.0
isu pelemahan kpk relevan,1.0,0.0,0.0
raissafajriah ri ide yang bagus tampilan foto kpk perlu menyelidiki jokowi betul ga zerrp,0.0,0.0,1.0
demo mahasiswa semarang terkait pelemahan kpk berujung ricuh,0.0,0.0,1.0
soal ributribut kpk gak suara kritis dpr yang so called wakil rakyat hasil pemilu karena semua aktor utama revisi uu kpk bersama pemerintah jadi nikmatin keadaan sampai pemilu mekanisme demokrasi lainnya kembali mengubah keadaan,0.0,1.0,0.0
candraasmara alhamdulillah kpk tetap semakin kuat novel dan gerombolannya,0.0,1.0,0.0
inyongmanise enak iya tidak lolos tes wawasan kebangsaan twk asn polri apa istimewanya mohon pencerahannya divhumaspolri jokowi,0.0,0.0,1.0
pegawai resmi dipecat september koalisi sipil jokowi salah satu otak pelemahan kpk,0.0,1.0,0.0
rakyat kecil kok lama ngerasa negara mulai parah gak beres nya mulai pelemahan kpk ketua kpk yang aneh trus anggota nya yang gak diseret pidana kasus lili p sarang koruptor dprmpr presiden yang bingung orang sekelilingnya yang bermasalah,0.0,1.0,0.0
hari september kpk resmi memecat pegawainya ialah pegawai yang dinyatakan lulus tes wawasan kebangsaan twk ingatbiadabnyagspki ingatbiadabnyagspki,1.0,0.0,0.0
ferdinandhaean kpkri dprri lucu banget kadrun otak kebalik mimpi terus kwkwk,0.0,0.0,1.0
febridiansyah ini surat pengarangsajak dijawab dear uni febridiansyah bertanya domz kenapa yah sprindik dr kpk ga bocor ke tempe sejak uu kpk revisi orang jobless kpk cm nanyak,1.0,0.0,0.0
ferdinandhaean kpkri dprri kamu tidak tahu malu semvak bau coba apa prestasimu ngedobos,0.0,1.0,0.0
hati hati terjebak propaganda menyesatkan isu pelemahan kpk relevan kpkhebat shopeewithmew ponpapuaready,0.0,0.0,1.0
yudiharahap kalau pegawai kpk yang berhentikan terus rekrut polri apa tidak jadi tanda tanya pak,0.0,1.0,0.0
bagaimana rakyat indonesia bawah mau ikut menikmati kerja sama dengan bumn wong sudah banyak monopoli dewan terhormat bongkar semua kpk turun kpkri kejaksaanri jokowi airlanggahrt dprri,0.0,0.0,1.0
bukti pelemahan kpk tidak bertaring,1.0,0.0,0.0
kelanalan agulraja dennysiregar kpkri coba tanya komisioner kpu yang lagi ngeringkuk penjara,0.0,1.0,0.0
seknasri nanarosa nazaqistsha polresbengkulu poldabengkulu propampolri listyosigitp kompolnasri mohmahfudmd polhukamri jokowi iya kan sllu teriak dzolimi lah apalah smpe pmecatannya kpkngrsa dirinya bnarbersihklo memang ngrsa bersih ngomonglah tntang apa yang share publikjngn sllu yang di bahas masalah pmecatannya kpk saja fairkan,1.0,0.0,0.0
iamrealkpk which email do you find more secure,0.0,1.0,0.0
mas nazaqistsha yudiharahap teman kpk yang diberhentikan dengan cara yang mengada itu kelak mnjadi sejarah perjalanan pemberantasan korupsi bhwa org yang berintegritas justru bahkan tersingkir tetap semangat kuat sehat org hebat,0.0,0.0,1.0
pegawai resmi dipecat september koalisi sipil jokowi salah satu otak pelemahan kpk,0.0,0.0,1.0
berdoa amp berduka mengenang arwah pahlawan revolusi korban kebiadaban gs pki pun berduka atas perlakuan semenamena kepada sejumlah pahlawan pemberantasan korupsi semoga pegawai kpk yang dipaksa berhenti berkarya terus berjuang untuk kebenaran dg kuat hati,1.0,0.0,0.0
jazzpk dear jazz please start g g service in our village we are in great hardships nd troubles from telenor plz plz check it village chakesar district shangla kpk,0.0,0.0,1.0
tomcruzz kpkri ada wakil ketua dpr ditangkap kok lho bikin statemen menyesatkan,0.0,1.0,0.0
mardanialisera mohon bertanya jenderalapa bareskrim dibutuhkan wawasan kebangsaan hingga sekelompok tidak lulus ujian twk dialihkan bareskrimapa sedang terjadi,0.0,1.0,0.0
nazaqistsha semoga anda di kpk kpk semakin kuat hebat,0.0,0.0,1.0
yang lumpuhkan kpk hti partai politik dpr oligarki isu dialihkan hti padahal masalah utamanya pelumpuhan kpk sistematis terstruktur lihainya oligarki mainkan isu tutupi akar persoalan,0.0,1.0,0.0
panjiraden backingan nya kuat bang makanya beritanya hilang seperti kader partai yang dicari kpk gak nemu,0.0,0.0,1.0
siaran pers kpk melalui menggelar diskusi daring penguatan ekosistem digital sektor kesehatan september,1.0,0.0,0.0
azis syamsuddin disebut punya orang untuk amankan kasus kpk siap dalami inilahcom inilahdotcom,1.0,0.0,0.0
jakarta kapolri jenderal polisi listyo sigit prabowo mengaku siap merekrut pegawai kpk tidak lolos tes wawasan kebangsaan twk pancasilapusaka,0.0,1.0,0.0
hinduantahir ferdinandhaean jokowi kurang satu novel lolos twk kpk jadi semua seakan negara memperlakukan tidak adil lucu pegawai kpk lebih yang lolos yang tidak lolos kok mempermasalahkan artinya gubluk,1.0,0.0,0.0
aniesbaswedan dkikoni disporadkijkt ponxxpapua ternyata jokowi lebih parah anies masa beli pisang ribu bayarnya juta kelebihan bayarnya kebanyakan mana kpk,0.0,0.0,1.0
setkabgoid bahas liburansetkab sebaiknya bahas pegawai kpk yang terindikasi kuat disingkirkan via twk yang melanggar ham manipulasi administrasi,0.0,1.0,0.0
semoga bisa menjadi pacarmu perlu diadakan tes wawasan kebangsaan,0.0,1.0,0.0
alextham emang yang nunjuk ketua kpk pres fit dan proper test nya saja dpr,0.0,1.0,0.0
ferdinandhaean kpkri dprri kamu ale kebayakan onani makanya pakai sempak mlulu tidak langsung presiden punya andil besar dlm pemilihan ketua kpk melalui koalisi partai yang ddpr paham bong,0.0,1.0,0.0
tatakhoiriyah sjk dibentuk kpk memang sepertinya tidak dikehendaki kamu mnjadi kokoh pdhl sbg lembaga ada hoc dlm pemberantasan kkn semestinya kpk memiliki sumber daya yang luar biasa minimnya personil amp anggaran cukup sbg bukti ditambah bbrp kasus prnah trjdi yang cenderung mengarah kpk jadi lemah,0.0,0.0,1.0
alkisah suatu negeri pertandingan bola selama tahun cukong vs jokowi tahun skor cukong omnimbus law pelemahan kpk ppn naik jokowi kasus demokrat wied abuwaras yang terlewat,0.0,0.0,1.0
kompascom msaiddidu pasca revisi uu kpk kpk masuk kedalam rumpun eksekutif artinya presiden pimpinan tertinggi punya hak kewajiban menyelesaikan persoalan kalau memang presiden tahu tidak mengusut polemik twk dulu buru menyutujui inisiatif polri,0.0,1.0,0.0
polri mulai membangun komunikasi pegawai komisi pemberantasan korupsi dipecat tidak lolos tes wawasan kebangsaan,0.0,1.0,0.0
siwendara sama tni kepolisian bukan lembaga abal yang gampang menerima pecatan yang tidak lulus twk pasti punya cara bagaimana menerima sekaligus menanamkan wawasan kebangsaan buat ingat ada makan siang yang gratis saudara laki-laki,0.0,0.0,1.0
teruslah berjuang adek mahasiswa perjuangan penegakan hukum kpk pelemahan dalam luar kpk dimulai revisi uu kpk,0.0,1.0,0.0
narkosun wkwkwkkwkwkayak yang paling baikapa masalahnya kq ngotot kpk,0.0,0.0,1.0
jadi kesimpulannya rekam jejak novel dan kawan-kawan berantas korupsi yang diragukan membuat mrk gagal tes wawasan kebangsaan kpkri ramlirizal faisalbasri hnurwahid msaiddidu panca febridiansyah dongeng sebuah negeri dagelan,0.0,1.0,0.0
di tes wawasan kebangsaan di tes wawasan kewarasannya biar ga marah terus,1.0,0.0,0.0
mdjoelies syarman oposisicerdas medantownchinas abrahamsamadd busyromuqoddas lawyer awalnya ngetwit dg melampirkan berita sblm revisi uu kpk status kpk itu masih independent,0.0,1.0,0.0
kalau aku kirim kpk rumahmu jangan takut itu komisi pertunangan gubrak,0.0,1.0,0.0
febridiansyah dennysiregar pintar jadi bodoh si febri akhirnya jadi juru bicara kpk darurat banyak banyak bicara heiii boss jngn sombong,0.0,1.0,0.0
kumparan cc mohmahfudmd selamat pak dimasaa menjabat kpkri semakin kuat canda pak candaaa novelout dejanout,1.0,0.0,0.0
novrdx mohmahfudmd kpkri lemah dungu,0.0,1.0,0.0
anggota komisi iii dpr ri arsul sani mengapresiasi sikap kapolri jenderal pol listyo sigit prabowo mengungkapkan niat menarik pegawai kpk tidak lolos tes wawasan kebangsaan twk menjadi asn polri,0.0,1.0,0.0
idenesia hadirnya kpk logika sederhana kana kejaksaan kepolisian itu lemah nya dibentuk kpk lah harusnya kepolisian kejaksaan digenjot sudah kuat otomatis fungsi kpk diperkecil,0.0,1.0,0.0
polri menggelar rapat badan kepegawaian negara bukan ri memumuskan mekanisme perekrutan pegawai kpk tidak lulus tes wawasan kebangsaan twk,0.0,0.0,1.0
pegawai resmi dipecat september koalisi sipil jokowi salah satu otak pelemahan kpk,0.0,0.0,1.0
unilubis peihatin melihat orang dulu yang keras menentang revisi uu kpk bahkan mengancam keluar dr kpk kalau sahkan hingga menjelekan pimp kpk melporkan dewas kpk belum lama ini skrng dengan menggunakan lembaga untuk ikut mempengaruhi,1.0,0.0,0.0
coronakafirnw umarhasibuan nazaqistsha kpkri kpkindonesia ga perlu panggil gus kelakuan bodoh ketua kpk di pilih ma dprumar bodoh,1.0,0.0,0.0
aliwangi bantanihery teguhsontoloyo febridiansyah pertanyaan twk saja banyak gak relevan sama wawasan kebangsaan,0.0,0.0,1.0
kebal ott kpk anggota dpr nasdem kena tipu siska alias cucu nyi roro kidul seorang anggota dpr ri fraksi nasdem rudi hartono bangun ditipu siska mengaku cucunya nyi roro kidul lantaran percaya siska mampu membuatnya kebal ott kpk,1.0,0.0,0.0
ferdinandhaean kpkri dprri bongol,1.0,0.0,0.0
markas besar polri bertemu perwakilan mantan pegawai komisi pemberantasan korupsi kpk tidak lulus tes wawasan kebangsaan twk pertemuan membicarakan rencana rekrutmen mantanpegawaikpk kpk mabespolri lampostco,0.0,1.0,0.0
idtodayco kpk makin kuat ga nb dan kawan-kawan salute,0.0,0.0,1.0
isu pelemahan kpk relevan,1.0,0.0,0.0
fakta baru muncul persidangan mantan wakil ketua dpr azis syamsuddin memiliki orang kpk dapat dimanfaatkan pengamanan perkara,0.0,1.0,0.0
si dpr sudah ditangkep kpk bagaimana kok menganggap penipuan kocak kalau garagara melaporkan bahkan dicurigai diselidiki ditangkap kpk,1.0,0.0,0.0
dennysiregar kpkri kpk org terikat kuat dengan konsekuensihasil perbuatannya cepat atau lambat perbuatan menuai hasil selalu mendahulukan sehat emosi jiwa hidup selamat baik,0.0,0.0,1.0
rizal ramli kritik pemindahan ibu kota penghuninya china,0.0,0.0,1.0
rizmaya febridiansyah loh kan novel baswedan nazaqistsha ga konsisten wacana resign bila revisi uu kpk dilakukan kok nyalahin presiden dpr waras ga,1.0,0.0,0.0
dynitri abirusyda nurwahidahalz bandarjuaranya ridanulantary wanheartn cahmbanjar arpangeran seruanhl hnurwahid geiszchalifah tofatofaid musniumar reflyhz oposisicerdas maspiyuaja rockygerungrg galamedianews hmsoeharto sbyudhoyono nenowarisman ramlirizal bemsi msaiddidu pakjk nurmantyogatot nazaqistsha kpkri aniesbaswedan agusyudhoyono edhiebaskoro mardanialisera tniad jokowi fadlizon nataliuspigai harisazhar pksejahtera pdemokrat faisalbasri tvonenews demokrattv andiarief krmtroysuryo annisapohan amansur hanumrais panca rasa sekarang dulu kehidupan beragama masih sama tidak yang perlu dikhawatirkan,0.0,0.0,1.0
sitifatimahmal cnnindonesia norak kamu tanya tu siapa diblkg firli sm aktor revisi uu kpk org yang isi seminar twk kok bisa ga lulusraja ott tukang tangkep koruptor kelas kakap dasar prokoruptor ga tahu malu,1.0,0.0,0.0
ferdinandhaean kpkri dprri kadrun kalau bikin stetmen bodoh gayanya sok tahu saja,0.0,0.0,1.0
pak pilpres pemilihan kepala daerah memecah rakyat revisi uu kpk menyatukan suara politisi,0.0,0.0,1.0
keraguan publik kpk menguat terutama revisi uu kpk disahkan pemecatan pegawainya masihkah kpk diselamatkan bagaimana cara mengembalikan maruah kpk bahas kbrsore podcastindonesia,0.0,1.0,0.0
idntimes jokowi evaluasi pak orangorang ada di kpk ini,1.0,0.0,0.0
ketumprodemnew putrawadapi jokowi erickthohir kpkri kapan bang,1.0,0.0,0.0
